song title  position rate count var
コードレス☆照れ☆PHONE	0.02857142857142857	2	0.0
乙女戦士クルピヨン	0.045454545454545456	2	0.0
アイ マイ ボーダー	0.04545454545454546	8	0.0
Only oneのあなたのせいよ	0.04829437229437231	25	1.6097899214782384e-06
Sugar Time Trip	0.0925925925925926	6	0.0008230452674897119
Darling Darling	0.09632034632034632	14	0.00040994359176177344
Angel Pride	0.1111111111111111	2	0.0
今年いちばん風の強い午後	0.11764705882352942	6	0.0
Spring fever	0.13770860781730346	8	0.007723746265233921
聴こえないように	0.14218836718836725	39	0.004935723231604981
パピィラヴ	0.14712340799297322	9	0.004443819532322711
ラブリィ レクチャー	0.1690092374235596	21	0.03150881044646903
恋のヒメヒメぺったんこ	0.17142857142857143	2	0.0
Catch me Cats me	0.17295173961840624	27	0.01024024129363235
ガラスの靴にMoonglow	0.17597402597402573	42	0.017542904953421267
あいかわらずなボクら	0.17647058823529413	3	0.0
恋におちて -Fall in love-	0.17647058823529413	2	0.0
Rainy Rainy Sunday	0.18934282092176827	13	0.00021206148965739307
あ,ほーるうにゅわーるど。	0.2	2	0.0
純愛レッスン	0.2025974025974026	15	0.10590318772136956
ときめきフォーリンラブ	0.20563755298410033	8	0.02838765854224156
おしえて A to Z	0.2143282352813534	28	0.02901439049315216
虹色バルーン	0.215311004784689	12	0.01261209887386028
Lovely Magic	0.21898989898989898	5	0.006674012855831038
蝶々結び	0.22161106866989222	9	0.06570535717122694
Fallin' into you	0.2222222222222222	4	0.0
わがままな I LOVE YOU	0.2222222222222222	2	0.0
Butterfly*kiss	0.22228867623604465	8	0.002114127932561576
キャンディスターにお願い	0.22727272727272727	6	0.0
Sweetest Love	0.2296085858585859	8	0.00616984691795298
桃色片思い	0.23076923076923075	3	0.0
セルフィッシュ	0.2318722943722943	14	0.0002961842450478816
Moonlight secret	0.23376623376623376	7	0.0002951593860684768
100 CARAT HEART	0.2352131038024161	24	0.06574979741021417
アチチッチ	0.2352941176470588	3	0.0
別の人の彼女になったよ	0.23529411764705885	6	0.0
Umbrella Sign	0.24147186147186148	25	4.0244748036955894e-05
エキセントリック・ラヴァー	0.24809691114038954	18	0.11700392718920596
プラチナLover's Day	0.25129585326953746	8	0.003776375384597494
Shining Rabbit	0.2562094155844155	16	0.03637555342384888
